feature,category,rows,mean_shap
zip_code,617xx,8,-0.037069654731105822
zip_code,618xx,8,0.13339106701147782
zip_code,619xx,3,-0.023177797377100861
zip_code,620xx,7,-0.14910815306263794
zip_code,622xx,14,-0.042670161124734811
zip_code,623xx,4,-0.028521542104315175
zip_code,624xx,4,-0.035604039557121221
zip_code,625xx,2,-0.025409859450350854
zip_code,626xx,6,-0.037836634081644123
zip_code,627xx,3,-0.13130765283241319
zip_code,628xx,4,-0.03299029601492421
zip_code,629xx,6,-0.03921521571704762
zip_code,630xx,14,-0.026051300192365477
zip_code,631xx,34,-0.043828050048302147
zip_code,633xx,16,0.22410641272478199
zip_code,635xx,2,-0.026932923463744256
zip_code,636xx,1,-0.032451520069638112
zip_code,637xx,2,-0.027792642806118213
zip_code,640xx,17,0.02332856791672188
zip_code,641xx,18,-0.0080857910619716034
zip_code,644xx,3,-0.027772224880766822
zip_code,645xx,3,-0.032113578170153603
zip_code,646xx,2,-0.030856834544900263
zip_code,647xx,4,-0.012103980721756127
zip_code,648xx,3,-0.033278693676632699
zip_code,650xx,2,-0.024074826527909775
zip_code,651xx,1,-0.031312841582645884
zip_code,652xx,5,-0.041293159563699409
zip_code,653xx,2,-0.029633363981589618
zip_code,655xx,2,-0.029195608296197936
zip_code,656xx,3,-0.03913228510429588
zip_code,657xx,9,-0.025398800562570455
zip_code,658xx,3,-0.10525807343107783
zip_code,660xx,24,-0.080093931075367164
zip_code,661xx,6,-0.034784071081674056
zip_code,662xx,13,0.13244117874381581
zip_code,664xx,4,-0.032406657275618436
zip_code,665xx,5,-0.068558466889505745
zip_code,666xx,5,-0.042650702537297101
zip_code,667xx,4,-0.026040839656216026
zip_code,669xx,1,-0.043138543480736813
zip_code,670xx,2,-0.041152117211407824
zip_code,671xx,4,-0.026804105041332949
zip_code,672xx,15,-0.027558426346716035
zip_code,673xx,2,-0.031659098986918696
zip_code,674xx,5,-0.033891454420548542
zip_code,675xx,1,-0.021868560912179702
zip_code,677xx,2,-0.026098361615042691
zip_code,678xx,5,-0.030063692373478612
zip_code,679xx,1,-0.037444965625263033
zip_code,685xx,1,-0.018627436213981444
zip_code,700xx,10,-0.017530696817736065
zip_code,701xx,10,-0.15203987936957228
zip_code,703xx,7,-0.034860425652704662
zip_code,704xx,12,-0.17544871995046163
zip_code,705xx,12,-0.018590746881368903
zip_code,706xx,8,-0.032344764881306276
zip_code,707xx,10,-0.037787627002462819
zip_code,708xx,18,-0.069412518989565214
zip_code,710xx,4,0.011352229494374193
zip_code,711xx,12,-0.014656539925246223
zip_code,713xx,4,0.072328522733205239
zip_code,714xx,2,-0.029903449171388832
zip_code,716xx,2,-0.0067978567452724554
zip_code,717xx,1,-0.032534296064079316
zip_code,718xx,1,-0.03025423570632408
zip_code,719xx,5,0.16184902213811622
zip_code,720xx,14,-0.034553586609052701
zip_code,721xx,3,-0.061156401322191078
zip_code,722xx,6,-0.057542290935281383
zip_code,723xx,3,-0.031099949796831259
zip_code,724xx,2,0.11779260328117119
zip_code,725xx,2,-0.023583831125535009
zip_code,726xx,4,0.073094176902825672
zip_code,727xx,10,-0.085414699931594687
zip_code,728xx,1,-0.035899238090336447
zip_code,729xx,9,-0.032031259907680951
zip_code,730xx,13,-0.078677743903168826
zip_code,731xx,9,-0.060196632598662578
zip_code,734xx,2,-0.038653902334127965
zip_code,735xx,2,0.0033939710035576359
zip_code,736xx,1,-0.024753072335970877
zip_code,737xx,1,-0.027980829372591828
zip_code,738xx,1,-0.033037892384860323
zip_code,739xx,1,-0.035245868636253931
